player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
辛島 航,,9.0,5.0,76.0,22.0,7.0,1.0,4.0,0.0,1.0,0.0,4.0,1.0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-11
渡辺 翔太,,4.5,1.0,22.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-11
伊藤 茉央,,9.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-11
鈴木 翔天,,0.0,1.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-11
宮森 智志,勝,0.0,1.0,21.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,東北楽天ゴールデンイーグルス,rakuten,オープン戦,2023-03-11
本前 郁也,,12.0,3.0,59.0,16.0,4.0,1.0,1.0,2.0,0.0,0.0,5.0,4.0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-11
西村 天裕,,0.0,1.0,12.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-11
坂本 光士郎,,0.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-11
小沼 健太,,6.0,1.0,9.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-11
鈴木 昭汰,,0.0,1.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-11
横山 陸人,,0.0,1.0,25.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-11
廣畑 敦也,敗,2.08,0.1,15.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,千葉ロッテマリーンズ,lotte,オープン戦,2023-03-11
小園 健太,敗,4.5,3.0,62.0,17.0,5.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-11
宮城 滝太,,0.0,1.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-11
吉野 光樹,,18.0,2.0,51.0,12.0,6.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-11
平田 真吾,,6.75,1.1,27.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-11
入江 大生,,3.38,1.2,22.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,横浜DeNAベイスターズ,dena,オープン戦,2023-03-11
柳 裕也,勝,6.75,5.0,86.0,22.0,5.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,中日ドラゴンズ,dragons,オープン戦,2023-03-11
小笠原 慎之介,,18.0,1.0,16.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,中日ドラゴンズ,dragons,オープン戦,2023-03-11
祖父江 大輔,,9.0,1.0,17.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中日ドラゴンズ,dragons,オープン戦,2023-03-11
砂田 毅樹,,0.0,1.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,中日ドラゴンズ,dragons,オープン戦,2023-03-11
谷元 圭介,,13.5,1.0,24.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,中日ドラゴンズ,dragons,オープン戦,2023-03-11
桐敷 拓馬,敗,9.0,5.0,72.0,24.0,8.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,阪神タイガース,tigers,オープン戦,2023-03-11
岩貞 祐太,,4.5,1.0,12.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,阪神タイガース,tigers,オープン戦,2023-03-11
石井 大智,,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,阪神タイガース,tigers,オープン戦,2023-03-11
K.ケラー,,4.5,1.0,17.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,阪神タイガース,tigers,オープン戦,2023-03-11
浜地 真澄,,2.25,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,阪神タイガース,tigers,オープン戦,2023-03-11
ガント,,0.0,2.0,36.0,9.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-11
吉田 輝星,勝,7.94,2.2,60.0,17.0,8.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-11
長谷川 威展,,0.0,0.1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-11
福田 俊,,3.86,0.1,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-11
宮内 春輝,,0.0,0.2,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-11
ロドリゲス,,3.0,1.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-11
田中 正義,,1.35,1.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-11
石川 直也,S,2.25,1.0,16.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,北海道日本ハムファイターズ,fighters,オープン戦,2023-03-11
益田 武尚,,0.0,3.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,広島東洋カープ,carp,オープン戦,2023-03-11
長谷部 銀次,勝,0.0,1.0,15.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,広島東洋カープ,carp,オープン戦,2023-03-11
一岡 竜司,,0.0,1.0,26.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,広島東洋カープ,carp,オープン戦,2023-03-11
野村 祐輔,,0.0,2.0,26.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,広島東洋カープ,carp,オープン戦,2023-03-11
中﨑 翔太,,0.0,1.0,25.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,広島東洋カープ,carp,オープン戦,2023-03-11
ターリー,,0.0,1.0,10.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,広島東洋カープ,carp,オープン戦,2023-03-11
ピーターズ,,0.0,3.0,31.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-11
エスピナル,敗,14.85,3.0,59.0,15.0,6.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-11
大西 広樹,,0.0,1.0,10.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-11
長谷川 宙輝,,0.0,1.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,東京ヤクルトスワローズ,swallows,オープン戦,2023-03-11
與座 海人,敗,6.75,4.0,59.0,18.0,6.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,埼玉西武ライオンズ,lions,オープン戦,2023-03-11
水上 由伸,,0.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,埼玉西武ライオンズ,lions,オープン戦,2023-03-11
平井 克典,,9.0,1.0,37.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,埼玉西武ライオンズ,lions,オープン戦,2023-03-11
