player,status,era,inning,num_ball,num_batter,num_hit,num_homerun,num_strikeout,num_bb,num_hit_by_pitch,num_balk,runs_allowed,earned_runs,team_ja,team_en,gameKind,date
ガゼルマン,勝,4.40,5,98,22,6,0,5,2,0,0,2,2,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-14
ウェンデルケン,H,0.00,1,18,3,0,0,0,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-14
エスコバー,,5.79,1,15,5,2,0,1,0,0,0,1,1,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-14
入江 大生,,1.50,1,10,3,0,0,0,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-14
森原 康平,,0.00,1,22,5,2,0,0,0,0,0,0,0,横浜DeNAベイスターズ,dena,リーグ戦,2023-04-14
青柳 晃洋,敗,3.63,4.2,85,24,8,0,0,3,1,0,5,5,阪神タイガース,tigers,リーグ戦,2023-04-14
富田 蓮,,13.50,0.2,24,5,2,0,0,1,0,0,3,3,阪神タイガース,tigers,リーグ戦,2023-04-14
ビーズリー,,0.00,1.2,22,6,1,0,2,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-14
加治屋 蓮,,0.00,1,19,5,2,0,1,0,0,0,0,0,阪神タイガース,tigers,リーグ戦,2023-04-14
小笠原 慎之介,勝,3.29,6,113,24,4,0,4,2,0,0,2,2,中日ドラゴンズ,dragons,リーグ戦,2023-04-14
田島 慎二,H,3.86,1,22,4,0,0,2,1,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-14
清水 達也,,2.25,1,8,3,0,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-14
山本 拓実,,2.25,1,11,3,0,0,0,0,0,0,0,0,中日ドラゴンズ,dragons,リーグ戦,2023-04-14
ビーディ,敗,4.50,5,79,24,8,0,5,1,0,0,4,4,読売ジャイアンツ,giants,リーグ戦,2023-04-14
鍬原 拓也,,0.00,1,14,4,0,0,1,1,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-14
鍵谷 陽平,,5.40,0.2,25,7,4,0,2,1,0,0,3,3,読売ジャイアンツ,giants,リーグ戦,2023-04-14
代木 大和,,3.18,0.1,8,4,3,0,0,0,0,0,2,2,読売ジャイアンツ,giants,リーグ戦,2023-04-14
田中 豊樹,,2.25,1,7,2,0,0,1,0,0,0,0,0,読売ジャイアンツ,giants,リーグ戦,2023-04-14
大瀬良 大地,勝,2.12,6,97,23,4,0,8,1,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-14
松本 竜也,H,0.00,1,18,4,1,0,1,0,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-14
ターリー,S,1.80,1,18,4,0,0,2,1,0,0,0,0,広島東洋カープ,carp,リーグ戦,2023-04-14
小川 泰弘,敗,0.47,6,75,21,3,0,3,0,0,0,1,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-14
木澤 尚文,,0.00,1,13,4,1,0,0,0,0,0,0,0,東京ヤクルトスワローズ,swallows,リーグ戦,2023-04-14
加藤 貴之,勝,2.74,9,100,32,6,1,6,0,0,0,2,2,北海道日本ハムファイターズ,fighters,リーグ戦,2023-04-14
松本 航,敗,3.00,6,94,27,5,1,4,3,1,0,4,4,埼玉西武ライオンズ,lions,リーグ戦,2023-04-14
大曲 錬,,2.25,1,19,5,2,0,1,0,0,1,1,1,埼玉西武ライオンズ,lions,リーグ戦,2023-04-14
張 奕,,0.00,1,20,5,2,0,1,0,0,0,0,0,埼玉西武ライオンズ,lions,リーグ戦,2023-04-14
田中 将大,勝,1.02,5,96,23,7,0,7,1,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-14
宮森 智志,H,1.80,1,16,4,2,0,0,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-14
鈴木 翔天,H,3.18,1,11,3,0,0,2,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-14
西口 直人,H,3.00,1,25,5,1,0,0,1,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-14
松井 裕樹,S,0.00,1,13,3,0,0,3,0,0,0,0,0,東北楽天ゴールデンイーグルス,rakuten,リーグ戦,2023-04-14
和田 毅,敗,3.00,4,83,20,5,1,2,2,1,0,3,3,福岡ソフトバンクホークス,hawks,リーグ戦,2023-04-14
大津 亮介,,5.79,2,29,8,1,0,1,0,0,0,0,0,福岡ソフトバンクホークス,hawks,リーグ戦,2023-04-14
田浦 文丸,,0.00,1,11,4,1,0,0,0,0,0,0,0,福岡ソフトバンクホークス,hawks,リーグ戦,2023-04-14
板東 湧梧,,3.86,1,19,4,0,0,1,0,1,0,0,0,福岡ソフトバンクホークス,hawks,リーグ戦,2023-04-14
佐々木 朗希,勝,0.00,7,105,23,1,0,11,2,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-14
益田 直也,H,0.00,1,18,3,0,0,0,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-14
澤村 拓一,S,6.75,1,10,3,0,0,1,0,0,0,0,0,千葉ロッテマリーンズ,lotte,リーグ戦,2023-04-14
山本 由伸,敗,0.75,6,101,24,5,0,9,1,0,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-04-14
山﨑 颯一郎,,1.93,0.2,28,5,2,0,1,1,0,0,1,1,オリックス・バファローズ,orix,リーグ戦,2023-04-14
比嘉 幹貴,,0.00,0.1,3,1,0,0,0,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-04-14
本田 仁海,,1.29,1,14,3,0,0,2,0,0,0,0,0,オリックス・バファローズ,orix,リーグ戦,2023-04-14
