team_ja,team_en,opp_team_ja,opp_team_en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,total,win,loss,gameKind,date
千葉ロッテマリーンズ,lotte,東京ヤクルトスワローズ,swallows,2,0,0,0,0,0,0,0,0,,,,,,,2,0,0,オープン戦,2023-03-04
東京ヤクルトスワローズ,swallows,千葉ロッテマリーンズ,lotte,0,0,0,0,1,0,0,0,1,,,,,,,2,0,0,オープン戦,2023-03-04
横浜DeNAベイスターズ,dena,埼玉西武ライオンズ,lions,0,1,0,0,0,0,0,0,0,,,,,,,1,0,1,オープン戦,2023-03-04
埼玉西武ライオンズ,lions,横浜DeNAベイスターズ,dena,0,0,2,0,1,0,0,0,1,,,,,,,4,1,0,オープン戦,2023-03-04
阪神タイガース,tigers,オリックス・バファローズ,orix,2,0,0,0,0,0,0,0,0,,,,,,,2,0,1,オープン戦,2023-03-04
オリックス・バファローズ,orix,阪神タイガース,tigers,0,2,0,0,0,1,0,1,0,,,,,,,4,1,0,オープン戦,2023-03-04
北海道日本ハムファイターズ,fighters,東北楽天ゴールデンイーグルス,rakuten,0,0,0,0,2,0,7,0,X,,,,,,,9,1,0,オープン戦,2023-03-04
東北楽天ゴールデンイーグルス,rakuten,北海道日本ハムファイターズ,fighters,3,0,0,1,0,0,1,0,1,,,,,,,6,0,1,オープン戦,2023-03-04
福岡ソフトバンクホークス,hawks,広島東洋カープ,carp,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,オープン戦,2023-03-04
広島東洋カープ,carp,福岡ソフトバンクホークス,hawks,0,0,0,0,0,2,0,0,0,,,,,,,2,1,0,オープン戦,2023-03-04
